Nb_executor; nb_cores_per_executor; nb_memory_per_executor;Dimension; Decoupe; Scheduling Time, Execution Time
1; 64; 1g; 150; 2; 15; 0
1; 64; 1g; 150; 2; 14; 0
1; 64; 1g; 150; 2; 15; 0
1; 64; 1g; 150; 2; 15; 0
1; 64; 1g; 150; 2; 14; 0
1; 64; 1g; 150; 4; 20; 0
1; 64; 1g; 150; 4; 20; 0
1; 64; 1g; 150; 4; 20; 0
1; 64; 1g; 150; 4; 21; 0
1; 64; 1g; 150; 4; 20; 0
1; 64; 1g; 150; 6; 32; 0
1; 64; 1g; 150; 6; 28; 0
1; 64; 1g; 150; 6; 27; 0
1; 64; 1g; 150; 6; 33; 0
1; 64; 1g; 150; 6; 27; 0
1; 64; 1g; 150; 8; 35; 0
1; 64; 1g; 150; 8; 36; 0
1; 64; 1g; 150; 8; 36; 0
1; 64; 1g; 150; 8; 38; 0
1; 64; 1g; 150; 8; 36; 0
1; 64; 1g; 150; 10; 53; 0
1; 64; 1g; 150; 10; 59; 0
1; 64; 1g; 150; 10; 55; 0
1; 64; 1g; 150; 10; 51; 0
1; 64; 1g; 150; 10; 52; 0
1; 64; 1g; 150; 12; 118; 0
1; 64; 1g; 150; 12; 71; 0
1; 64; 1g; 150; 12; 67; 0
1; 64; 1g; 150; 12; 70; 0
1; 64; 1g; 150; 12; 66; 0
1; 64; 1g; 150; 14; 157; 0
1; 64; 1g; 150; 14; 85; 0
1; 64; 1g; 150; 14; 95; 0
1; 64; 1g; 150; 14; 81; 0
1; 64; 1g; 150; 14; 81; 0
1; 64; 1g; 150; 16; 243; 0
1; 64; 1g; 150; 16; 130; 0
1; 64; 1g; 150; 16; 117; 0
1; 64; 1g; 150; 16; 133; 0
1; 64; 1g; 150; 16; 139; 0
1; 64; 1g; 150; 18; 317; 0
1; 64; 1g; 150; 18; 174; 0
1; 64; 1g; 150; 18; 181; 0
1; 64; 1g; 150; 18; 177; 0
1; 64; 1g; 150; 18; 186; 0
1; 64; 1g; 150; 20; 393; 0
1; 64; 1g; 150; 20; 228; 0
1; 64; 1g; 150; 20; 211; 0
1; 64; 1g; 150; 20; 215; 0
1; 64; 1g; 150; 20; 202; 0
1; 64; 1g; 150; 22; 455; 0
1; 64; 1g; 150; 22; 246; 0
1; 64; 1g; 150; 22; 280; 0
1; 64; 1g; 150; 22; 253; 0
1; 64; 1g; 150; 22; 246; 0
1; 64; 1g; 150; 24; 555; 0
